	Mode	Type	Ancien	Eloign	Superf
112	Seul	Cite	plus_3ans	moins_1km	moins_10m
113	Seul	Studio	de_1_3ans	moins_1km	de_10_20m
114	Seul	Cite	de_1_3ans	de_1_5km	de_10_20m
115	Seul	Studio	plus_3ans	moins_1km	de_20_30m
116	Seul	Studio	moins_1an	moins_1km	de_10_20m
117	Seul	Studio	de_1_3ans	moins_1km	de_20_30m
118	Seul	Studio	de_1_3ans	de_1_5km	de_10_20m
119	Seul	Studio	plus_3ans	moins_1km	de_20_30m
120	Seul	Chamb	de_1_3ans	moins_1km	de_10_20m
121	Seul	Studio	moins_1an	de_1_5km	de_10_20m
122	Seul	Studio	plus_3ans	moins_1km	de_20_30m
123	Seul	Studio	de_1_3ans	de_1_5km	de_10_20m
124	Seul	Studio	moins_1an	moins_1km	de_20_30m
125	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
126	Seul	Cite	moins_1an	de_1_5km	moins_10m
127	Seul	Cite	plus_3ans	moins_1km	moins_10m
128	Seul	Cite	de_1_3ans	de_1_5km	moins_10m
129	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
130	Seul	Studio	de_1_3ans	moins_1km	de_10_20m
131	Seul	Studio	moins_1an	de_1_5km	de_10_20m
132	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
133	Seul	Chamb	de_1_3ans	de_1_5km	de_10_20m
134	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
135	Seul	Studio	de_1_3ans	moins_1km	de_20_30m
136	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
137	Seul	Studio	moins_1an	plus_5km_NR	de_20_30m
138	Seul	Studio	plus_3ans	de_1_5km	de_10_20m
139	Seul	Studio	de_1_3ans	moins_1km	de_20_30m
140	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
141	NR1	Autre	NR3	de_1_5km	plus_30m
142	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
143	Seul	Cite	de_1_3ans	de_1_5km	moins_10m
144	Seul	Cite	plus_3ans	moins_1km	moins_10m
145	Seul	Studio	plus_3ans	moins_1km	de_20_30m
146	Seul	Studio	moins_1an	de_1_5km	de_20_30m
147	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
148	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
149	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
150	Seul	Studio	de_1_3ans	de_1_5km	de_10_20m
151	NR1	Autre	NR3	de_1_5km	plus_30m
152	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
153	Seul	Studio	plus_3ans	moins_1km	de_20_30m
154	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
155	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
156	Seul	Studio	moins_1an	de_1_5km	de_20_30m
157	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
158	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
159	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
160	NR1	Autre	NR3	de_1_5km	plus_30m
161	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
162	Coloc	Autre	de_1_3ans	de_1_5km	plus_30m
163	Seul	Chamb	de_1_3ans	de_1_5km	moins_10m
164	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
165	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
166	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
167	Seul	Studio	de_1_3ans	de_1_5km	de_20_30m
168	Seul	Chamb	moins_1an	de_1_5km	moins_10m
169	Seul	Chamb	moins_1an	moins_1km	de_20_30m
170	Seul	Studio	plus_3ans	moins_1km	de_20_30m
171	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
172	Couple	Appart	de_1_3ans	moins_1km	de_20_30m
173	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
174	Seul	Studio	plus_3ans	de_1_5km	de_10_20m
175	Seul	Studio	moins_1an	moins_1km	de_20_30m
176	Couple	Appart	de_1_3ans	moins_1km	de_20_30m
177	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
178	Coloc	Appart	de_1_3ans	de_1_5km	plus_30m
179	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
180	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
181	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
182	Seul	Studio	de_1_3ans	moins_1km	de_20_30m
183	Couple	Appart	plus_3ans	moins_1km	de_20_30m
184	Coloc	Appart	plus_3ans	moins_1km	plus_30m
185	Seul	Studio	plus_3ans	de_1_5km	de_20_30m
186	Coloc	Appart	plus_3ans	de_1_5km	plus_30m
187	Seul	Appart	de_1_3ans	moins_1km	de_20_30m
